Eq_Code,Eq_Num,Eq_Desc,Function,File
SpawnOutput,\@ref(eq:SpawnOutput),Test Description,,
EggSmoltBH,\@ref(eq:EggSmoltBH),Test Description,,
SmoltProdRicker,\@ref(eq:SmoltProdRicker),Test Description,,
EggProdHabitat,\@ref(eq:EggProdHabitat),Test Description,,
FryProdHabitat,\@ref(eq:FryProdHabitat),Test Description,,
SmoltProdHabitat,\@ref(eq:SmoltProdHabitat),Test Description,,
HockeyStick,\@ref(eq:HockeyStick),Test Description,,
EggTarget,\@ref(eq:EggTarget),Test Description,,
Broodtake,\@ref(eq:Broodtake),Test Description,,
BroodtakeImportStray,\@ref(eq:BroodtakeImportStray),Test Description,,
EggProd,\@ref(eq:EggProd),Test Description,,
pBroodtake,\@ref(eq:pBroodtake),Test Description,,
Eggsum,\@ref(eq:Eggsum),Test Description,,
YearlingTarget,\@ref(eq:YearlingTarget),Test Description,,
SubyearlingTarget,\@ref(eq:SubyearlingTarget),Test Description,,
ProdYearSubYear,\@ref(eq:ProdYearSubYear),Test Description,,
SmoltRel1,\@ref(eq:SmoltRel1),Test Description,,
SmoltRel2,\@ref(eq:SmoltRel2),Test Description,,
PTKeptCatch,\@ref(eq:PTKeptCatch),Test Description,,
FishMortCTarget,\@ref(eq:FishMortCTarget),Test Description,,
Recruitment,\@ref(eq:Recruitment),Test Description,,
JuvAbund,\@ref(eq:JuvAbund),Test Description,,
TermCatch,\@ref(eq:TermCatch),Test Description,,
CatchTarget,\@ref(eq:CatchTarget),Test Description,,
Escapement,\@ref(eq:Escapement),Test Description,,
NOS,\@ref(eq:NOS),Test Description,,
FitnessLoss,\@ref(eq:FitnessLoss),Test Description,,
MeanFitness,\@ref(eq:MeanFitness),Test Description,,
MeanPhenotype,\@ref(eq:MeanPhenotype),Test Description,,
TraitValue,\@ref(eq:TraitValue),Test Description,,
TraitValueNatural,\@ref(eq:TraitValueNatural),Test Description,,
TraitValueHatchery,\@ref(eq:TraitValueHatchery),Test Description,,
GenMeanFitness,\@ref(eq:GenMeanFitness),Test Description,,
MTVMixedNatural,\@ref(eq:MTVMixedNatural),Test Description,,
MTVMixedHatchery,\@ref(eq:MTVMixedHatchery),Test Description,,
MixedpNOS,\@ref(eq:MixedpNOS),Test Description,,
MixedpHOSeff,\@ref(eq:MixedpHOSeff),Test Description,,
MixedpNOB,\@ref(eq:MixedpNOB),Test Description,,
MixedpHOB,\@ref(eq:MixedpHOB),Test Description,,
EggFryFitness,\@ref(eq:EggFryFitness),Test Description,,
RickerBeta,\@ref(eq:RickerBeta),Test Description,,
MarineMortIncrease,\@ref(eq:MarineMortIncrease),Test Description,,
ProdAdjusted,\@ref(eq:ProdAdjusted),Test Description,,
PNI,\@ref(eq:PNI),Test Description,,
AllImportPNI,\@ref(eq:AllImportPNI),Test Description,,
pWild,\@ref(eq:pWild),Test Description,,
pWildMixed,\@ref(eq:pWildMixed),Test Description,,
FishMortHatchery,\@ref(eq:FishMortHatchery),Test Description,,
FishMortNatural,\@ref(eq:FishMortNatural),Test Description,,
KeptCatchMS,\@ref(eq:KeptCatchMS),Test Description,,
HarvTargetMS,\@ref(eq:HarvTargetMS),Test Description,,
CatchTargetMS,\@ref(eq:CatchTargetMS),Test Description,,
ExpRateMS,\@ref(eq:ExpRateMS),Test Description,,
