Name,Definition,Type,Class,Slot
\textrm{NOS},Natural origin spawners,Natural production,SMSE,NOS
\textrm{HOS},Hatchery origin spawners,Hatchery,SMSE,HOS
\textrm{HOS}_\textrm{eff},"Effective number of HOS, spawning output discounted by $\gamma$",Hatchery,SMSE,HOSeff
\textrm{Fry}^\textrm{NOS},"Fry production by natural origin spawners, assumed to be equal to egg production",Natural production,SMSE,Fry_NOS
\textrm{Fry}^\textrm{HOS},"Fry production by hatchery origin spawners, assumed to be equal to egg production",Hatchery,SMSE,Fry_HOS
\textrm{Smolt}^\textrm{NOS},"Smolt production by natural origin spawners, density-dependent",Natural production,SMSE,Smolt_NOS
\textrm{Smolt}^\textrm{HOS},"Smolt production by hatchery origin spawners, density-dependent",Hatchery,SMSE,Smolt_HOS
C_\textrm{egg-smolt},Carrying capacity of smolts (Beverton-Holt stock-recruit parameter),Natural production,"SOM, Bio",capacity
S_\textrm{max},Spawning output that maximizes smolt production (Ricker stock-recruit parameter),Natural production,"SOM, Bio",Smax
\kappa,"Productivity (maximum recruitment production rate), units of recruit per spawner",Natural production,"SOM, Bio",kappa
\phi,"Unfished per capita egg production rate, units of egg per smolt",Natural production,"SOM, Bio",phi
r,"Maturity at age, i.e., recruitment rate",Natural production,"SOM, Bio",p_mature
\textrm{Fec},Fecundity of spawners (eggs per female),Natural production,"SOM, Bio",fec
\textrm{Fec}^\textrm{brood},Fecundity of broodtake (eggs per female),Hatchery,SOM,fec_brood
p^\textrm{female},Proportion of female spawners in broodtake and spawners,Natural production,"SOM, Bio",p_female
\textrm{SAR},Smolt-to-adult recruit survival,Natural production,-,-
M,"Juvenile instantaneous natural mortality of juvenile (either the freshwater or marine environment by age class)",Natural production + Hatchery,"SOM, Bio","Mjuv_NOS, Mjuv_HOS"
s_\textrm{enroute},Survival of escapement to spawning grounds and hatchery,Natural production,"SOM, Bio",s_enroute
P^\textrm{inc},Productivity for density-dependent survival: egg incubation from spawning output,Habitat,SOM,egg_prod
C^\textrm{inc},Capacity for density-dependent survival: egg incubation from spawning output,Habitat,SOM,egg_capacity
P^\textrm{egg-fry},Productivity for density-dependent survival: egg to fry life stage,Habitat,SOM,fry_prod
C^\textrm{egg-fry},Capacity for density-dependent survival: egg to fry life stage,Habitat,SOM,fry_capacity
\varepsilon^\textrm{egg-fry}_y,Deviations in density-dependent survival: egg to fry life stage,Habitat,SOM,fry_sdev
P^\textrm{fry-smolt},Productivity for density-dependent survival: fry to smolt life stage,Habitat,SOM,smolt_prod
C^\textrm{fry-smolt},Capacity for density-dependent survival: fry to smolt life stage,Habitat,SOM,smolt_capacity
\varepsilon^\textrm{fry-smolt}_y,Deviations in density-dependent survival: fry to smolt life stage,Habitat,SOM,smolt_sdev
\textrm{NOB},Natural origin broodtake,Hatchery,SMSE,NOB
\textrm{HOB},Hatchery origin broodtake,Hatchery,SMSE,HOB
